client_id,process_step,Variation,time_diff_seconds
173784,1,Control,27.0
174238,1,Test,9.0
174244,1,Test,9.0
174360,1,Control,16.0
174800,1,Control,7.0
174806,1,Control,14.0
175033,1,Control,29.000000000000004
175128,1,Control,35.0
175196,1,Control,107.0
175752,1,Test,14.0
175784,1,Control,76.0
175907,1,Test,15.000000000000002
176114,1,Test,8.0
176808,1,Control,13.0
176966,1,Test,20.0
177581,1,Control,42.0
177765,1,Test,95.0
177876,1,Control,4.0
177990,1,Control,11.0
178125,1,Test,8.0
178493,1,Control,51.0
178853,1,Control,0.0
179027,1,Control,11.0
179119,1,Test,13.0
179358,1,Test,15.000000000000002
179489,1,Control,16.0
179667,1,Test,27.0
180142,1,Control,92.0
180381,1,Control,17.0
180404,1,Control,13.0
180425,1,Test,39.0
180953,1,Control,96.0
181125,1,Test,34.0
181254,1,Test,11.0
182074,1,Test,24.0
182574,1,Control,38.0
182575,1,Control,19.0
182591,1,Control,23.0
182739,1,Test,11.0
183077,1,Test,15.000000000000002
183287,1,Control,3.0
183399,1,Control,25.0
183713,1,Control,0.0
183720,1,Test,6.0
183855,1,Control,33.0
184127,1,Test,5.0
184211,1,Control,43.0
184216,1,Test,10.0
184396,1,Test,14.0
184701,1,Test,128.0
184963,1,Control,6.0
185096,1,Test,69.0
185881,1,Control,20.0
185963,1,Test,26.0
186246,1,Control,28.0
186550,1,Test,0.0
186612,1,Control,8.0
186857,1,Test,17.0
187308,1,Test,11.0
187498,1,Test,41.0
187547,1,Test,11.0
187837,1,Control,5.0
187901,1,Control,51.0
187902,1,Test,157.0
188427,1,Control,44.0
188807,1,Control,79.0
189053,1,Control,13.0
189267,1,Control,8.0
189571,1,Control,9.0
189572,1,Test,7.0
190001,1,Test,25.0
190197,1,Control,68.0
190246,1,Test,8.0
190580,1,Test,38.0
190598,1,Test,26.0
191300,1,Test,151.0
191373,1,Control,48.0
191619,1,Test,7.0
191749,1,Control,13.0
191877,1,Test,9.0
192049,1,Test,126.00000000000001
192160,1,Test,111.0
192386,1,Test,106.0
192518,1,Test,6.0
192654,1,Test,57.0
193111,1,Test,27.0
193303,1,Test,24.0
193305,1,Test,13.0
193457,1,Test,22.0
193613,1,Control,84.0
193835,1,Control,59.0
194066,1,Test,14.0
194329,1,Control,22.0
194470,1,Test,0.0
194784,1,Test,4.0
194816,1,Test,15.000000000000002
195080,1,Test,6.0
195166,1,Test,3.0
195310,1,Control,9.0
195446,1,Control,97.0
195655,1,Test,7.0
195714,1,Control,16.0
196053,1,Control,49.0
196286,1,Control,82.0
196531,1,Test,65.0
196635,1,Test,104.0
196675,1,Control,36.0
196865,1,Control,0.0
196988,1,Test,56.0
197335,1,Control,0.0
197374,1,Test,8.0
197518,1,Control,12.0
197560,1,Test,6.0
197793,1,Test,5.0
197955,1,Control,0.0
198652,1,Test,9.0
198773,1,Control,22.0
198857,1,Control,4.0
198932,1,Control,18.0
198935,1,Test,15.000000000000002
200308,1,Test,51.0
200352,1,Control,59.00000000000001
200372,1,Control,83.0
200598,1,Test,15.000000000000002
200604,1,Control,57.0
200648,1,Test,7.0
200698,1,Test,17.0
200707,1,Test,107.0
201225,1,Control,103.0
201392,1,Control,89.0
201394,1,Test,91.0
201447,1,Test,27.0
201641,1,Test,5.0
201846,1,Test,8.0
201909,1,Test,11.0
202371,1,Test,43.0
202856,1,Control,22.0
202865,1,Control,65.0
202925,1,Control,56.0
202973,1,Test,6.0
203027,1,Test,7.0
203223,1,Test,82.0
203427,1,Control,44.0
203500,1,Test,0.0
203702,1,Control,22.0
204212,1,Control,14.0
204361,1,Control,29.000000000000004
204445,1,Test,6.0
204496,1,Control,129.0
204888,1,Test,12.0
205273,1,Test,16.0
205429,1,Test,18.0
205563,1,Test,17.0
206428,1,Test,53.0
206829,1,Control,29.0
206871,1,Test,62.00000000000001
207109,1,Test,60.0
207261,1,Test,125.00000000000001
207299,1,Control,15.000000000000002
207416,1,Control,12.0
207455,1,Test,0.0
207721,1,Control,6.0
208156,1,Test,30.0
208237,1,Control,13.0
208307,1,Control,74.0
208505,1,Test,12.0
208525,1,Test,23.0
208722,1,Control,37.0
208784,1,Test,25.0
209090,1,Control,15.0
209099,1,Test,35.0
209462,1,Test,63.0
209532,1,Control,0.0
210140,1,Test,7.0
210141,1,Test,97.0
210180,1,Test,19.0
210347,1,Control,19.0
210473,1,Control,92.0
210667,1,Test,70.0
211023,1,Test,47.0
211380,1,Test,84.0
211694,1,Test,25.0
211709,1,Control,28.0
211786,1,Control,30.000000000000004
212071,1,Control,30.0
213870,1,Control,1.0
214083,1,Test,91.0
214594,1,Control,25.0
214667,1,Test,106.0
214786,1,Control,98.0
214944,1,Control,0.0
214998,1,Control,11.0
215661,1,Test,6.0
215880,1,Control,7.0
216445,1,Control,9.0
217308,1,Test,9.0
217500,1,Control,13.0
217547,1,Test,15.000000000000002
217761,1,Test,149.0
217950,1,Test,0.0
218589,1,Test,13.0
218777,1,Test,9.0
218903,1,Control,0.0
219038,1,Test,31.0
219207,1,Test,71.0
219230,1,Control,127.0
219306,1,Control,6.0
219851,1,Control,30.000000000000004
219882,1,Test,0.0
220061,1,Test,5.0
220394,1,Control,27.0
220594,1,Test,15.000000000000002
220644,1,Control,37.0
220901,1,Control,100.0
221092,1,Test,151.0
221296,1,Test,4.0
221354,1,Control,33.0
221385,1,Test,5.0
221558,1,Control,6.0
221734,1,Control,13.0
221775,1,Control,1.0
221779,1,Test,9.0
222111,1,Test,3.0
222315,1,Control,28.0
222726,1,Control,99.0
222973,1,Test,26.0
223224,1,Control,52.0
223802,1,Test,13.0
224102,1,Control,65.0
224773,1,Test,10.0
225062,1,Control,7.0
225103,1,Control,15.000000000000002
225368,1,Control,29.000000000000004
225675,1,Control,46.0
225928,1,Control,21.0
226198,1,Test,113.0
226403,1,Control,30.0
226818,1,Test,28.0
226840,1,Control,0.0
226853,1,Test,15.000000000000002
227588,1,Test,19.0
227610,1,Test,8.0
227629,1,Control,32.0
227631,1,Test,53.0
227805,1,Test,22.0
228465,1,Test,129.0
228538,1,Test,80.0
228662,1,Test,30.0
228758,1,Test,10.0
228783,1,Test,0.0
228868,1,Test,99.0
229123,1,Test,4.0
229242,1,Control,52.0
229490,1,Test,17.0
229500,1,Control,100.0
229522,1,Test,8.0
229701,1,Control,2.0
229800,1,Test,3.0
230117,1,Control,13.0
230423,1,Test,6.0
230492,1,Control,13.0
230538,1,Test,3.0
230551,1,Test,6.0
230560,1,Control,5.0
230950,1,Control,62.00000000000001
231622,1,Test,97.0
233145,1,Test,14.0
233249,1,Control,13.0
233312,1,Test,18.0
233344,1,Test,10.0
233391,1,Test,38.0
233429,1,Test,23.0
233601,1,Control,10.0
233796,1,Test,101.0
233799,1,Control,10.0
233965,1,Control,7.0
234316,1,Test,13.0
234491,1,Control,12.0
234619,1,Test,11.0
